Blueberries	400	2.5
TunaSunOil	1	1.4
Onions	3	0.85
Avocado	340	1.90
GreekYoghurt	170	0.90
Lemon	400	1.5
RoastChicken	1	5.5
Spinach	100	0.9
EmmentalCheese	250	2
Cashews	200	4
Pistachios	200	4
ParmesanCheese	200	3
SunflowerSeeds	1000	6.16
Salami	49	1
Oil	500	2.35
Kale	100	1
Egg	1	0.475
Jerky	70	2.90
PistachiosSalted	1000	15.99
Olives	70	0.9
KalaOlives	70	0.9
CashewsSalted	180	3.5
AlmondsSalted	1000	14.49
Salt	350	0.75
NandosHalfChix	1	7.45
TunaSunOilTesco	3	1.98
BaconTesco	70	2.5
RoastBeefTesco	180	2.5
Almonds	60	1
